epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1030.17,0.59074,0.63645,1.06716,0.75866,0.71753,0.77947,0.59907,0.78815,1.08292,1.28308,0.000643101,0.000643101,0.000643101
43,1054.44,0.60351,0.62538,1.07027,0.83608,0.67923,0.78156,0.60943,0.75947,1.06088,1.25971,0.000628101,0.000628101,0.000628101
44,1078.63,0.57987,0.61449,1.05921,0.79379,0.70175,0.7877,0.60873,0.7538,1.02545,1.23549,0.000612981,0.000612981,0.000612981
45,1102.96,0.57338,0.60096,1.05498,0.78366,0.75483,0.79952,0.61387,0.77967,0.94018,1.27618,0.000597754,0.000597754,0.000597754
46,1127.26,0.5737,0.59066,1.05654,0.7884,0.72511,0.79521,0.62447,0.74645,0.91903,1.25301,0.000582435,0.000582435,0.000582435
47,1151.37,0.57638,0.61121,1.0518,0.83869,0.70161,0.79081,0.6269,0.73214,1.04006,1.22145,0.00056704,0.00056704,0.00056704
48,1175.59,0.57244,0.59532,1.04709,0.81663,0.70305,0.79212,0.62441,0.73626,0.99137,1.23576,0.000551584,0.000551584,0.000551584
49,1199.8,0.56229,0.58753,1.04901,0.82203,0.6912,0.78233,0.61624,0.7356,1.02568,1.24102,0.000536081,0.000536081,0.000536081
50,1224.04,0.54607,0.57775,1.04171,0.77914,0.74952,0.80194,0.63172,0.73316,1.00241,1.23229,0.000520548,0.000520548,0.000520548
51,1248.36,0.56035,0.5936,1.04293,0.82481,0.69889,0.79219,0.62497,0.73325,0.99374,1.23486,0.000505,0.000505,0.000505
52,1272.66,0.55927,0.57501,1.03923,0.77529,0.74266,0.79163,0.6215,0.73048,0.97019,1.22832,0.000489452,0.000489452,0.000489452
53,1296.97,0.56291,0.57084,1.04421,0.76366,0.70958,0.78031,0.61693,0.75248,1.04408,1.25438,0.000473919,0.000473919,0.000473919
54,1321.09,0.55372,0.56387,1.03972,0.79295,0.67754,0.78595,0.62051,0.73415,0.98391,1.23334,0.000458416,0.000458416,0.000458416
55,1345.09,0.53864,0.55788,1.03943,0.7581,0.7275,0.76797,0.61231,0.73524,0.95526,1.23812,0.00044296,0.00044296,0.00044296
56,1369.18,0.54022,0.55409,1.03345,0.76939,0.73487,0.78262,0.62002,0.73268,0.95726,1.22139,0.000427565,0.000427565,0.000427565
57,1393.28,0.5356,0.54071,1.03273,0.82909,0.69031,0.79653,0.62229,0.73262,0.99563,1.24252,0.000412246,0.000412246,0.000412246
58,1417.3,0.54101,0.55189,1.03739,0.78405,0.73653,0.79769,0.63362,0.72826,1.00438,1.23522,0.000397019,0.000397019,0.000397019
59,1441.43,0.53246,0.54182,1.02866,0.80261,0.71175,0.78264,0.62647,0.71399,0.97754,1.21815,0.000381899,0.000381899,0.000381899
60,1465.62,0.52205,0.54245,1.02114,0.84838,0.70479,0.79737,0.63197,0.71566,0.94054,1.22601,0.000366899,0.000366899,0.000366899
61,1489.63,0.52683,0.53546,1.02564,0.8661,0.6905,0.80054,0.63751,0.70697,0.99276,1.2185,0.000352037,0.000352037,0.000352037
62,1513.75,0.52258,0.52326,1.02175,0.82871,0.69214,0.78191,0.62489,0.73071,0.99776,1.24472,0.000337325,0.000337325,0.000337325
63,1538.1,0.51917,0.52051,1.0266,0.87091,0.69267,0.79741,0.63781,0.72375,0.96277,1.21471,0.000322778,0.000322778,0.000322778
64,1562.43,0.51166,0.51108,1.01791,0.81674,0.71756,0.79299,0.63964,0.72177,0.97411,1.23252,0.000308412,0.000308412,0.000308412
65,1586.43,0.50319,0.5122,1.01836,0.81496,0.71614,0.79116,0.63407,0.73143,1.00039,1.23159,0.000294239,0.000294239,0.000294239
66,1610.41,0.51334,0.52102,1.01939,0.80778,0.71756,0.79064,0.6316,0.72981,0.98951,1.23554,0.000280275,0.000280275,0.000280275
67,1634.52,0.51543,0.5103,1.01487,0.86467,0.6965,0.8063,0.6451,0.7253,0.97077,1.2362,0.000266532,0.000266532,0.000266532
68,1658.56,0.49416,0.48693,1.01559,0.84397,0.7152,0.79991,0.64504,0.71284,0.96544,1.22845,0.000253024,0.000253024,0.000253024
69,1682.61,0.50255,0.5,1.0112,0.85475,0.71127,0.7991,0.63526,0.72995,0.95016,1.23879,0.000239766,0.000239766,0.000239766
70,1706.85,0.49264,0.48525,1.0091,0.77711,0.72216,0.79062,0.62724,0.73845,0.98227,1.24759,0.000226769,0.000226769,0.000226769
71,1731.04,0.49858,0.49246,1.00766,0.84874,0.71913,0.79509,0.62976,0.72394,0.91492,1.22563,0.000214046,0.000214046,0.000214046
72,1755.57,0.50171,0.49033,1.0126,0.82265,0.70758,0.79206,0.63859,0.71601,0.93561,1.22395,0.000201611,0.000201611,0.000201611
73,1779.9,0.48736,0.47986,1.00937,0.79111,0.75029,0.79544,0.64382,0.71755,0.91468,1.22516,0.000189475,0.000189475,0.000189475
74,1803.85,0.48766,0.48381,1.00781,0.7808,0.75874,0.79268,0.63957,0.70788,0.92943,1.22733,0.000177651,0.000177651,0.000177651
75,1827.91,0.48474,0.47805,1.00803,0.82378,0.71798,0.79357,0.64243,0.72197,0.95831,1.23501,0.000166149,0.000166149,0.000166149
76,1852.01,0.47934,0.47303,0.99719,0.80526,0.73591,0.80112,0.64042,0.73779,0.90859,1.25389,0.000154982,0.000154982,0.000154982
77,1876.43,0.48605,0.47942,1.00562,0.85407,0.69966,0.7965,0.64517,0.71571,0.91673,1.23937,0.000144161,0.000144161,0.000144161
78,1900.5,0.49909,0.4743,1.01244,0.78086,0.75229,0.79369,0.6418,0.72005,0.914,1.24027,0.000133695,0.000133695,0.000133695
79,1924.51,0.47762,0.47483,1.00574,0.78878,0.73792,0.7922,0.64232,0.71797,0.94092,1.23691,0.000123596,0.000123596,0.000123596
80,1948.63,0.48752,0.46845,1.00269,0.81352,0.729,0.80012,0.64435,0.71896,0.93621,1.2294,0.000113873,0.000113873,0.000113873
81,1972.67,0.48342,0.47318,1.00797,0.81973,0.74571,0.80246,0.64073,0.71544,0.93566,1.2334,0.000104537,0.000104537,0.000104537
82,1996.68,0.47129,0.4616,0.99903,0.81406,0.73865,0.79048,0.63443,0.71761,0.96552,1.23632,9.55951e-05,9.55951e-05,9.55951e-05
83,2020.83,0.48846,0.4673,1.00598,0.78755,0.73707,0.79334,0.63454,0.71786,0.941,1.23894,8.70577e-05,8.70577e-05,8.70577e-05
84,2044.7,0.47428,0.4639,0.99506,0.80277,0.72475,0.79594,0.63963,0.72252,0.95036,1.24282,7.89327e-05,7.89327e-05,7.89327e-05
85,2068.73,0.46786,0.45667,0.98848,0.81448,0.72354,0.7979,0.64592,0.72747,0.90542,1.2535,7.12282e-05,7.12282e-05,7.12282e-05
86,2092.82,0.47117,0.46121,0.99415,0.80789,0.7366,0.79692,0.64237,0.7174,0.92737,1.23461,6.39518e-05,6.39518e-05,6.39518e-05
87,2116.55,0.46829,0.45436,0.98727,0.79919,0.73725,0.79766,0.64369,0.7135,0.93819,1.23371,5.71106e-05,5.71106e-05,5.71106e-05
88,2140.57,0.46895,0.45262,0.99146,0.82732,0.73767,0.80014,0.64613,0.7069,0.93633,1.22184,5.07115e-05,5.07115e-05,5.07115e-05
89,2164.54,0.46263,0.46659,0.99378,0.80469,0.74267,0.79982,0.64076,0.70066,0.92958,1.21378,4.47606e-05,4.47606e-05,4.47606e-05
90,2188.46,0.46764,0.46244,0.99203,0.79607,0.74345,0.79847,0.6457,0.71268,0.92172,1.23554,3.9264e-05,3.9264e-05,3.9264e-05
91,2238.82,0.33778,0.28047,0.8907,0.81044,0.73026,0.7919,0.64039,0.7103,0.91594,1.23708,3.4227e-05,3.4227e-05,3.4227e-05
92,2263,0.33171,0.27693,0.88633,0.8175,0.7319,0.79397,0.64303,0.71012,0.92555,1.23775,2.96546e-05,2.96546e-05,2.96546e-05
93,2287.21,0.33323,0.27909,0.89066,0.81427,0.73828,0.79584,0.64513,0.70883,0.92368,1.23545,2.55513e-05,2.55513e-05,2.55513e-05
94,2311.41,0.33342,0.27787,0.89054,0.80293,0.74023,0.79508,0.64255,0.70864,0.9239,1.23635,2.19212e-05,2.19212e-05,2.19212e-05
95,2335.32,0.33479,0.27573,0.88518,0.79564,0.74268,0.79605,0.64209,0.71061,0.94078,1.23709,1.87678e-05,1.87678e-05,1.87678e-05
96,2359.09,0.3283,0.27391,0.88876,0.80432,0.74528,0.79667,0.64399,0.71017,0.94005,1.23748,1.60943e-05,1.60943e-05,1.60943e-05
97,2382.88,0.3306,0.27615,0.89222,0.79435,0.74508,0.795,0.64525,0.7112,0.93187,1.24354,1.39032e-05,1.39032e-05,1.39032e-05
98,2406.54,0.32748,0.27083,0.88411,0.80332,0.74891,0.79689,0.6433,0.70883,0.93483,1.23994,1.21968e-05,1.21968e-05,1.21968e-05
99,2430.41,0.32804,0.27377,0.88604,0.80246,0.75205,0.79412,0.64306,0.71199,0.92929,1.24481,1.09768e-05,1.09768e-05,1.09768e-05
100,2454.23,0.33515,0.2784,0.88994,0.80053,0.74852,0.79519,0.64278,0.71059,0.92919,1.24197,1.02443e-05,1.02443e-05,1.02443e-05
