epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6703.61,0.68343,0.77083,1.21867,0.8655,0.83685,0.91054,0.77586,0.59606,0.69624,1.11246,0.000418525,0.000418525,0.000418525
43,6842.93,0.6778,0.7536,1.2087,0.89412,0.82422,0.90848,0.77597,0.59777,0.68182,1.12068,0.00041701,0.00041701,0.00041701
44,6983.94,0.68352,0.76738,1.21318,0.88615,0.8316,0.9113,0.78297,0.58837,0.67753,1.10368,0.000415462,0.000415462,0.000415462
45,7117.35,0.67198,0.74075,1.20361,0.89606,0.81699,0.90716,0.77252,0.59732,0.70332,1.11914,0.000413882,0.000413882,0.000413882
46,7250.57,0.66874,0.73178,1.20271,0.89289,0.82442,0.91438,0.78995,0.57732,0.66518,1.10183,0.00041227,0.00041227,0.00041227
47,7383.94,0.66696,0.73797,1.19975,0.89085,0.82837,0.90968,0.77985,0.59446,0.68975,1.11915,0.000410626,0.000410626,0.000410626
48,7522.07,0.66986,0.74275,1.20434,0.87474,0.84412,0.91337,0.77905,0.60378,0.6709,1.1187,0.000408951,0.000408951,0.000408951
49,7656.76,0.67439,0.74322,1.20455,0.87658,0.83778,0.9106,0.77824,0.60305,0.69849,1.11148,0.000407244,0.000407244,0.000407244
50,7792.04,0.66681,0.73841,1.1977,0.86624,0.85075,0.9105,0.78362,0.58552,0.67312,1.1121,0.000405506,0.000405506,0.000405506
51,7929.2,0.67298,0.75076,1.20475,0.89688,0.83082,0.9121,0.77744,0.6062,0.68572,1.11537,0.000403737,0.000403737,0.000403737
52,8064.65,0.66288,0.72304,1.19231,0.86743,0.84071,0.91172,0.78309,0.58128,0.68465,1.09985,0.000401938,0.000401938,0.000401938
53,8199.84,0.66271,0.71635,1.19053,0.89586,0.82329,0.90826,0.78172,0.58961,0.68584,1.10508,0.000400109,0.000400109,0.000400109
54,8333.73,0.65268,0.71507,1.19367,0.89214,0.83707,0.91102,0.78498,0.58719,0.68615,1.1131,0.000398249,0.000398249,0.000398249
55,8471.32,0.66257,0.72721,1.19565,0.89426,0.82793,0.90866,0.78122,0.59201,0.67447,1.11723,0.000396361,0.000396361,0.000396361
56,8605.11,0.65653,0.70804,1.18618,0.89561,0.83461,0.91112,0.78444,0.59565,0.67084,1.11144,0.000394443,0.000394443,0.000394443
57,8738.88,0.65353,0.70934,1.18941,0.89068,0.8378,0.91587,0.78998,0.58412,0.68085,1.10783,0.000392497,0.000392497,0.000392497
58,8873.2,0.6461,0.71096,1.18068,0.88926,0.83239,0.91381,0.78912,0.58386,0.68194,1.1121,0.000390521,0.000390521,0.000390521
59,9007.1,0.65416,0.70254,1.1883,0.89246,0.83673,0.92074,0.79561,0.57405,0.66834,1.09901,0.000388518,0.000388518,0.000388518
60,9141.02,0.64998,0.69903,1.18355,0.88549,0.83799,0.91494,0.78739,0.58373,0.67798,1.10788,0.000386487,0.000386487,0.000386487
61,9275.3,0.64788,0.68857,1.18085,0.90738,0.82667,0.91635,0.79638,0.56679,0.66767,1.09375,0.000384429,0.000384429,0.000384429
62,9409.43,0.64699,0.69871,1.18444,0.89733,0.84042,0.9201,0.79673,0.57409,0.64535,1.10182,0.000382343,0.000382343,0.000382343
63,9545.12,0.64752,0.68002,1.18051,0.88993,0.84339,0.9163,0.79466,0.57741,0.66562,1.09883,0.00038023,0.00038023,0.00038023
64,9680.42,0.64662,0.6845,1.18331,0.89031,0.83845,0.92019,0.79845,0.57153,0.66076,1.09928,0.000378092,0.000378092,0.000378092
65,9813.42,0.63564,0.67443,1.17935,0.89281,0.8206,0.91681,0.79525,0.56138,0.66493,1.08162,0.000375927,0.000375927,0.000375927
66,9946.54,0.63694,0.67369,1.17366,0.87965,0.84318,0.92023,0.79454,0.5703,0.66625,1.09044,0.000373736,0.000373736,0.000373736
67,10079.4,0.64341,0.68657,1.18459,0.85901,0.85822,0.92105,0.79812,0.56548,0.66103,1.09275,0.00037152,0.00037152,0.00037152
68,10218.1,0.63612,0.66373,1.17319,0.88086,0.85185,0.92331,0.8026,0.56514,0.65359,1.09062,0.000369279,0.000369279,0.000369279
69,10357.4,0.63543,0.67524,1.1729,0.89343,0.83257,0.91746,0.795,0.57419,0.66128,1.094,0.000367014,0.000367014,0.000367014
70,10491.9,0.63478,0.65987,1.16803,0.89362,0.8281,0.91447,0.79377,0.57047,0.66687,1.09645,0.000364725,0.000364725,0.000364725
71,10625.7,0.63471,0.67032,1.16797,0.89803,0.82179,0.91429,0.79118,0.56857,0.6605,1.09766,0.000362411,0.000362411,0.000362411
72,10759.5,0.62685,0.65777,1.16482,0.87698,0.84002,0.9105,0.79019,0.5752,0.67722,1.10076,0.000360075,0.000360075,0.000360075
73,10897.5,0.62074,0.65553,1.16655,0.90073,0.81997,0.91222,0.79339,0.56749,0.67245,1.09567,0.000357715,0.000357715,0.000357715
74,11035.1,0.62495,0.66823,1.17051,0.88221,0.84423,0.91621,0.7968,0.56213,0.67124,1.09312,0.000355333,0.000355333,0.000355333
75,11171.9,0.6172,0.65638,1.15966,0.8903,0.83813,0.9183,0.79845,0.56249,0.65804,1.08805,0.000352929,0.000352929,0.000352929
76,11306.9,0.62425,0.6504,1.16182,0.90672,0.81544,0.9163,0.7994,0.55703,0.65521,1.08691,0.000350503,0.000350503,0.000350503
77,11443.2,0.6262,0.66353,1.16499,0.88054,0.84865,0.91379,0.79753,0.55581,0.66393,1.08854,0.000348056,0.000348056,0.000348056
78,11579.9,0.62994,0.66014,1.16807,0.87925,0.85349,0.91511,0.79616,0.55438,0.66546,1.08825,0.000345588,0.000345588,0.000345588
79,11713.3,0.61748,0.64634,1.16404,0.8925,0.83726,0.91538,0.80074,0.55319,0.67713,1.08823,0.000343099,0.000343099,0.000343099
80,11847.8,0.61864,0.64399,1.16165,0.88778,0.8373,0.91617,0.79948,0.55857,0.67645,1.09059,0.000340591,0.000340591,0.000340591
81,11981.3,0.61432,0.63682,1.15579,0.89072,0.83984,0.91618,0.7998,0.55533,0.6707,1.08828,0.000338063,0.000338063,0.000338063
82,12114.7,0.61207,0.63622,1.15243,0.86978,0.85572,0.91276,0.79765,0.55422,0.67922,1.08664,0.000335515,0.000335515,0.000335515
83,12249.2,0.61139,0.63066,1.15528,0.87235,0.85259,0.91353,0.80009,0.55018,0.67287,1.08262,0.000332949,0.000332949,0.000332949
84,12383,0.60944,0.63354,1.15624,0.88756,0.84141,0.9177,0.80199,0.55723,0.6655,1.08801,0.000330364,0.000330364,0.000330364
85,12516.6,0.61003,0.6255,1.14671,0.84871,0.87383,0.91692,0.80047,0.55777,0.65337,1.09345,0.000327762,0.000327762,0.000327762
86,12652.5,0.60622,0.62216,1.15252,0.86099,0.86336,0.91774,0.80128,0.55802,0.64651,1.08879,0.000325142,0.000325142,0.000325142
87,12785.8,0.61605,0.62526,1.15713,0.86217,0.86229,0.91695,0.80008,0.55656,0.65106,1.08669,0.000322506,0.000322506,0.000322506
88,12919.3,0.61141,0.6294,1.15315,0.8885,0.82982,0.91541,0.79746,0.55264,0.64297,1.08609,0.000319852,0.000319852,0.000319852
89,13053.1,0.59943,0.61208,1.14414,0.88563,0.84292,0.91613,0.80076,0.55371,0.65319,1.08735,0.000317183,0.000317183,0.000317183
90,13186.4,0.6041,0.62145,1.14938,0.87889,0.84491,0.91676,0.80241,0.55318,0.65288,1.08931,0.000314498,0.000314498,0.000314498
91,13326.8,0.60241,0.62233,1.14766,0.87653,0.8501,0.91659,0.80274,0.55268,0.65278,1.09028,0.000311798,0.000311798,0.000311798
92,13466.6,0.60295,0.62007,1.14659,0.88706,0.83995,0.91898,0.80293,0.55099,0.65456,1.08916,0.000309084,0.000309084,0.000309084
93,13607.1,0.60008,0.61634,1.14666,0.86483,0.8661,0.91845,0.80373,0.55421,0.66138,1.08989,0.000306355,0.000306355,0.000306355
94,13741.2,0.59565,0.60824,1.13939,0.85844,0.86613,0.91807,0.80546,0.54969,0.65561,1.0852,0.000303612,0.000303612,0.000303612
95,13875.2,0.60018,0.60432,1.14811,0.88353,0.84061,0.91665,0.80484,0.54738,0.65205,1.08255,0.000300856,0.000300856,0.000300856
