epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1911.67,0.81932,0.99562,1.30792,0.79626,0.72883,0.79754,0.61542,0.85548,1.35369,1.41182,0.000550284,0.000550284,0.000550284
43,1949.12,0.82194,0.96732,1.29923,0.79822,0.69958,0.77704,0.57062,0.96304,1.2781,1.53628,0.000547903,0.000547903,0.000547903
44,2003.91,0.80506,0.95614,1.30218,0.73994,0.74332,0.78332,0.60102,0.87513,1.21354,1.46061,0.000545472,0.000545472,0.000545472
45,2050.68,0.81074,0.98692,1.30823,0.79945,0.74196,0.80734,0.59556,0.92943,1.22062,1.47437,0.000542992,0.000542992,0.000542992
46,2464.25,0.8157,0.9593,1.31002,0.81325,0.76427,0.82484,0.62994,0.83348,1.12279,1.39132,0.000540462,0.000540462,0.000540462
47,2506.97,0.8153,0.96609,1.29355,0.76327,0.7007,0.76469,0.57299,0.92371,1.45168,1.51278,0.000537883,0.000537883,0.000537883
48,2546.79,0.79079,0.92296,1.2725,0.75986,0.78772,0.8094,0.61163,0.88702,1.1831,1.4544,0.000535256,0.000535256,0.000535256
49,2613.04,0.8007,0.93088,1.27995,0.78737,0.72789,0.79111,0.62313,0.82955,1.1951,1.43885,0.000532581,0.000532581,0.000532581
50,2654.83,0.80426,0.92801,1.28391,0.85285,0.73139,0.80953,0.6163,0.884,1.30417,1.42729,0.00052986,0.00052986,0.00052986
51,2701.62,0.79267,0.91364,1.27491,0.80958,0.71735,0.7893,0.59432,0.84444,1.11827,1.40853,0.000527091,0.000527091,0.000527091
52,2764.31,0.78576,0.92265,1.27384,0.83946,0.71764,0.80828,0.58066,0.9775,1.27611,1.5413,0.000524277,0.000524277,0.000524277
53,2805.46,0.79325,0.88509,1.27734,0.80836,0.79098,0.83055,0.63957,0.81065,1.27746,1.36245,0.000521417,0.000521417,0.000521417
54,2856.65,0.77154,0.85771,1.25354,0.8108,0.76929,0.82102,0.6266,0.8823,1.13872,1.45125,0.000518513,0.000518513,0.000518513
55,2917.83,0.79301,0.88795,1.27335,0.78709,0.77906,0.82208,0.63338,0.81899,1.05331,1.37604,0.000515564,0.000515564,0.000515564
56,2961.87,0.77721,0.88315,1.26624,0.83227,0.71429,0.80657,0.6203,0.87114,1.10906,1.44152,0.000512571,0.000512571,0.000512571
57,2995.4,0.76462,0.86174,1.25237,0.85004,0.70086,0.81106,0.6224,0.80339,1.10513,1.34868,0.000509536,0.000509536,0.000509536
58,3042.4,0.77638,0.88881,1.2691,0.8707,0.72088,0.82118,0.62929,0.87938,1.08133,1.42811,0.000506458,0.000506458,0.000506458
59,3081.35,0.77529,0.85999,1.26394,0.85128,0.73824,0.82721,0.62145,0.88107,1.19355,1.45346,0.000503338,0.000503338,0.000503338
60,3131.9,0.78178,0.89312,1.26659,0.85465,0.72758,0.82139,0.62203,0.86079,1.18585,1.41007,0.000500177,0.000500177,0.000500177
61,3180.31,0.76026,0.85745,1.25996,0.80524,0.78102,0.82165,0.61897,0.8679,1.11953,1.42518,0.000496976,0.000496976,0.000496976
62,3255.95,0.75453,0.82196,1.24662,0.79231,0.75274,0.80224,0.59769,0.90526,1.06263,1.45925,0.000493735,0.000493735,0.000493735
